"filename", "language", "PHP", "SQL", "JavaScript", "CSS", "comment", "blank", "total"
"c:\wamp64\www\mycave\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 10, 0, 12
"c:\wamp64\www\mycave\assets\css\style.css", "CSS", 0, 0, 0, 42, 0, 1, 43
"c:\wamp64\www\mycave\assets\js\app.js", "JavaScript", 0, 0, 23, 0, 0, 3, 26
"c:\wamp64\www\mycave\assets\js\connexion.js", "JavaScript", 0, 0, 84, 0, 5, 8, 97
"c:\wamp64\www\mycave\assets\js\wines\add.js", "JavaScript", 0, 0, 52, 0, 1, 3, 56
"c:\wamp64\www\mycave\assets\js\wines\delete.js", "JavaScript", 0, 0, 36, 0, 1, 2, 39
"c:\wamp64\www\mycave\assets\js\wines\edit.js", "JavaScript", 0, 0, 113, 0, 2, 5, 120
"c:\wamp64\www\mycave\assets\js\wines\list.js", "JavaScript", 0, 0, 61, 0, 1, 4, 66
"c:\wamp64\www\mycave\bdd\models.php", "PHP", 158, 0, 0, 0, 23, 21, 202
"c:\wamp64\www\mycave\index.php", "PHP", 58, 0, 0, 0, 0, 5, 63
"c:\wamp64\www\mycave\list.php", "PHP", 11, 0, 0, 0, 0, 1, 12
"c:\wamp64\www\mycave\mycave.sql", "SQL", 0, 50, 0, 0, 25, 16, 91
"c:\wamp64\www\mycave\php\includes\fn.php", "PHP", 13, 0, 0, 0, 0, 2, 15
"c:\wamp64\www\mycave\php\includes\footer.php", "PHP", 11, 0, 0, 0, 0, 4, 15
"c:\wamp64\www\mycave\php\includes\header.php", "PHP", 87, 0, 0, 0, 0, 7, 94
"Total", "-", 338, 50, 369, 44, 68, 82, 951